"","V1","V2","V3","V4","V5"
"agecateg2","5 years and under","6 - 11 years","12 - 24 years","25 years and above","All"
"m","52.5","56.9","44.1","18.8","47.3"
"mn","47.5","43.1","55.9","81.2","52.7"
